reviews,label
Agobiante,1
Agotador,1
Decepcionante,1
Deficiente,1
Descontento,1
desfavorable,1
Desilusi�n,1
Desilusionante,1
Desorganizado,1
Enga�oso,1
Horrible,1
Inaceptable,1
Inadecuado,1
Inc�modo,2
incompetente,1
Indeseable,1
Ineficiente,1
insatisfactorio,1
Insoportable,1
irritaci�n,1
Lamentable,1
Mal,1
malo,1
Molesto,1
negativo,1
p�simo,1
Problema,1
problem�tico,1
repugnante,1
Agradable,5
Agradecido,5
Aplaudible,5
Asombroso,5
Contento,5
Destacado,5
Encantado,5
Estupendo,5
Excelente,5
Excepcional,5
Fabuloso,5
Fant�stico,5
Feliz,5
Genial,5
Gratificante,5
Grato,5
Impresionante,5
Incre�ble,5
Maravilloso,5
Notable,5
�ptimo,5
Perfecto,5
Placentero,5
Reconfortante,5
Satisfactorio,5
Sobresaliente,5
La atencion fue rapido y el playero muy amable  me limpio los parabrisas y se ofrecio revisar aceite y agua.,3
Habia una playera y un playero corriendo para atender a todos los autos y dos surtidores no funcionaban. Ellos fueron amables  respetuosos y hasta me limpiaron el vidrio.,3
El acceso a la estacion es muy incomodo. Falta lugar de parking.,2
Respetuosa atencion y rapidez en la atencion ,5
Poco personal para toda la playa,2
El personal muy atento y paciente,5
Estuve satisfecho. Me atendieron bien y rapido,5
La atencion recibida fue muy buena. ,5
Siempre excelente.,5
Mucha espera en la atencion,1
Mala atencion,1
Limpio el lugar  rapidez y muy cordial la persona que me atendio.,5
Rápido y ágil. Atienden todos si ven q se necesita.,5
Excelente atención ,5
Cuentan con surtidores reducidos en Vpower ,3
La estación esta muy apretada...poco espacio para maniobrar,2
Buena atención… responden a mis necesidades ,5
Pesima atenci�n,1
El trato del personal es excelente y su disposicion para ayudar a los que no manejamos muy bien las redes para abonar,5
atendido rapido cordialmente,5
Trato agradable y cordial siempre,4
me hubiera gustado que me ofrezcan limpiarme los vidrios.,3
Simplemente consideré Satisfactorio toda la atención y servicios brindado.,4
estoy muy cerca  y son muy positivos,5
Excelente el trato. Como siempre  pero esta vez la verdad que la persona que me atendió fue excelente.,5
La calidad del combustible  ma muy buena atención y los servicios complementarios  en particular aire para los neumáticos sin costo adicional.,5
Hace MESES que no puedo cambiar la password de la aplicación  y las respuestas que me dieron son pésimas y completamente inútiles. Se ve que en Mkt los toman por grado de estupidez. ,1
Siempre muy bien atendido,5
atencion del personal ,5
Porque fue rápido  eficiente  y cómodo. Muy buena atención!!!,5
La mejor atención lejos !! Felicitaciones Norma!,5
Agradezco el gesto que tuvo la Compañía Shell en otorgarme un vale de descuento por no haber podido usar la app un miércoles de de descuento W Power. Gracias. Sigan así,5
Todo muy bien. El personal (femenino) a  cargo del mostrador del snack resuelve todos los inconvenientes que se puedan producir en el uso del sistema (pase de puntos  nueva tarjeta de débitio  etc.) Parecen técnicas en informática.,5
Excelente atención y servicio  los felicito.,5
Ingreso muy complicado  autos cruzados  todo fue muy lento no terminaban de irse los autos muy pocos playeros solo 2 en un momento de alta demanda en una esquina muy complicada,2
En Shell pude ver rapidamente los combos disponibles  formas de pago y hasta recibí asistencia personalizada via whatsapp. El servicio excelente como así la atención.,5
Siempre cargo en la misma estación de Cramer y Hernandez  y también toda mi familia. Son todos muy amables y el combustible para mi es el mejor. ,5
Por la cordialidad y atención del personal.  ,5
La app no funciona. Me ha pasado más de una vez. Por lo tanto es publicidad engañosa.,1
El negocio tiene los productos imprescindibles. Abierto las 24 h Lugar tranquilo  seguro  limpio y confortable,5
Muy buena la atencion del playero y calidad de sus productos,5
Nunca cargo otra marca que no sea Shell y casi siempre en la misma estación de servicio!Una crítica: por que sólo hay descuento con VPower y no hay descuentos  más en estos momentos  con nafta Súper?,4
Siempre voy porque siempre me atendieron bien,5
Algunas veces se demora y otras no. No dicen nada a darte el ticket. Le cargamos los puntos sr. Solo gracias a Dios te dan el ticket ,3
Muy buena calidad de los productos ofrecidos  tanto en combustible y de la tienda,5
Atencion rapidez y servicio excelentes,5
Nafta y atencion muy buena. Complicacion con shell box cuya tarjeta funciono los primeros 3 meses y despues nunca mas.,3
me atendieron a tiempo  muy amable la persona que me realizo el servicio del auto. Impecable,5
Tuve suerte  había muy poca gente  me atendieron enseguida y muy bien. La App Shell Box funcionó perfecto,5
La persona que me atendió  ha sido muy atento en explicarme en el uso de la aplicación para abonar la carga de combustible.,5
Todo OK. ,5
Amabilidad de la persona que me atendió. Ofrecimiento de servvicios. Limpieza del lugar.,5
Muy buena atención de los playeros,5
Amabilidad de la playera. Consulte por el servicio de cambio de aceite y filtro y me asesoro en todo  ya saque el turno del servicio por este motivo y último pero no menor la calidad de nafta siempre excelente,5
Soy cliente de shell por la calidad de los productos y servicios de la compañia,5
Estuve satisfecho  esta bien ,4
la atención brindada por parte del personal es muy buena. ,5
Todo ok,5
Gente cordial.Buena atención.Rapidez. ,5
Excelente el servicio brindando.,5
Organización Activo Ordenado,5
Muy buena atención y amabilidad.,5
Muy bien atendido por el empleado servicial 10 puntos,5
Siempre hay mejoras que se pueden realizar. El personal fue amable ofrecer pagar con la aplicación,4
La aplicación funciono muy bien.,5
El servicio fue muy bueno. Los productos tambien. El lugar limpio,5
Intenté 2 veces pagar con la app y débito del Banco. Las 2 veces dio error. Terminé pagando fuera de la app con la misma tarjeta que la app había rechazado.Perdí los descuentos de la app y del banco  estoy muy enojado.,1
la calidad del combustible: Excelente * la atención en todas las estaciones de servicio: hasta ahora  de 10 en todas  hay estaciones en todos lados  siempre hay una Shell de camino Gracias,5
Aprovecho los miércoles 10% app  y queda en mi ruta habitual. Cordialidad en la atención.,5
Excelente el trato y la paciencia del playero.,5
Ok ,5
Me atendieron eficientemente y de manera amable.,5
Hasta ahora nunca tuve inconvenientes.Atienden muy bien.Las instalaciones están bien.,5
La calidad en la atención de los playeros es muy buena. Cordial y atenta. Sigan asi. V power es a su vez el mejor combustible en la Argentina ,5
El empleado me ayudó con la aplicación ,5
EXCELENTE SERVICIO SOY HABITUE DE LA ESTACION,5
Atención. No se perdió tiempo.Buen ambiente,5
utilizo lubricantes y combustibles desde hace 3 decadas con gran satisfacción,5
No andaba la aplicación para realizar el descuento de los días miércoles. Ya es la segunda vez qué pasa. O juegan con la necesidad de la gente o el sistema es obsoleto.,2
Podría mejorarse la experiencia ,4
Todo muy bien,5
Destaco la amabilidad del personal y la ayuda en el pago,5
Nada en especial es que siempre tenemos forma de mejorar y considero que un satisfecho da esa posibilidad de seguir esforzándonos ,4
Siempre cargo Shell por calidad producto y amabilidad de los empleados ,5
No les andaba la app propia de shell para pagar  eso me parece un desastre ,2
Fui a cargar v-power como siempre lo hago los dias miercoles para aprovechar el descuento para los registrados en el programa y casualmente al app no funcionaba  se habia caido el sistema en todas las estaciones shell. No pude utilizar ese medio de pago ni hacer uso del beneficio.,2
No tuve descuento por error en el programa y no pude pagar con el celular  debí abonar con tarjeta de crédito. Si se hace una promoción y no se cumple desprestigia la marca.,2
Muy mala atencion,1
Siempre buena atención. Cercana a mi domicilio.,5
El servicio que dan es lo más Siempre diligentes para ayudarme con el aire de las llantas,5
Satisfecho en la carga de combustible,4
todo en orden,5
No hubo buena predispocisión a atender bien y rápido. No me ofrecieron revisar agua  aceite ni limpiar parabrisas. Entiendo que uds venden más aceite si me falta.,1
Muy buena onda la gente q trabaja en la estacion,5
atención muy amable  todo estaba en orden  no debimos casi esperar.,5
Muy buen servicio.,5
atencion  programa de fidelidad  calidad combustible,5
Estuve en la tienda y el personal excelente. Destaco a Evelyn y A Lionel Al resto empleados también ,5
Fui atendida rápidamente y el personal que me atendió fue muy amable,5
Los chicos que atienden en la tienda son excelentes! ,5
muy buena atencion del personal,5
RAPIDEZ Y ACESORAMIENTO ADECUADO,5
Importante conocer a los playeros  ser atendidos semanalmente con las mismas” caras” have sentirse cómodo. ,5
No estuve satisfecho porque el sistema de ustedes no me permitió cambiar puntos  es decir unos puntos por otros productos. ,2
Nunca funciona la App para aprovechar descuentos ,1
Un solo personal para la atención por la cantidad de clientes,1
bastante rapido y el chico eficiente y amable,5
Excelente atención ..el personal muy atento,5
Muy buen trato de los empleados y mejor rendimiento del combustible,5
Lo mejor que tiene esta estación comparada con el resto es el personal!! Son excelente!! Tanto en la playa como en el shop. Felicitaciones y cuidenlos  no hay tantos tan buenos.,5
Desastrosa la atencion,1
Mejorar la limpieza en los baños ,2
Soy cliente de esta estación desde hace mucho y siempre la atención y la solución  de los problemas que tuviera fueron  atendidos inmejorablemente  seguiré concurriendo.,5
Voy siempre a esta estacion a desayunar y almorzar. Muy buena atencion y limpieza.,5
Hace mas de 40 años que utilizo esta estación de servicio  siempre tuve una excelente atención,5
Hace varios meses la app dejó de funcionar. Me habla en portugués y no me deja loggearme. No reconoce mi usuario y no puedo usar la app. Hablé por teléfono. Me pidieron capturas de pantalla. PERO NO HUBO SOLUCIÓN. Una lástima ,1
rapido y sencillo,5
La atención del playero fue excelente.,5
Atención eficiente ,5
Muy buena  atencion  del  playero  que  corria  atendiendo  a tres clientes  al  mismo  tiempo,5
Siempre atienden muy bien,5
Muy atento el personal  es sencillo el pago por app  las instalaciones están aptas buenas promociones en productos. Buena iluminación ,5
Atencion recibida personal ideoneo. Siempre voy allí por que atienden miy bien,5
No estuve satisfecho porque no me deja usar la aplicación ,2
Realizo el recorrido habitual y aprovecho los miércoles desde la App con descuento.,5
Calidad y servicio,5
El trato  la predisposición y la amabilidad. El alcance cercano de las estaciones. La facilidad con la que se puede gestionar cualquier servicio que ofrecen. ,5
La atención del señor que llena el combustible La amabilidad del señor Me ofreció limpiar el parabrisas  ver aceite  agua. ,5
Siempre me atienden muy cordialmente  el tiempo de espera es lógico y es muy fácil pagar.,5
Buen servicio. Buen trato de la gente. Baños funcionando. ,5
Siempre soy bien atendida en Shell y considero que sus combustibles son de primera calidad,5
rapidez profesionalidad ,5
Todo muy rapido. Muy buena atencion y trato.Pago muy simple y rapido con app Shell Box.,5
Pasé anoche y no había Vpower  hoy fui y tuve que esperar bastante para cargar  había cola ,2
Excelente atención,5
Muy atento en personal de playa! Siempre muy cordiales y de buen humor! ,5
excelente atencion y servicios hace más de 30 anos que voy a la misma estación,5
No hay V-power en todos los surtidores y no esta claramente señalizado. Tuve que retroceder y cambiar de surtidor para poder cargar v-power.,2
Siempre me atienden muy bien. Todo el personal es muy amable. Me gusta por lo ordenada  limpia  iluminada y e buen trato recibido,5
Calidad de atención del personal Ambiente agradable Calidad del combustible,5
Rapidez en la atención y profesionalismo del empleado ,5
muy buena atención del playero es una estación de servicio que me queda de paso cuando estoy por esa zona siempre esta iluminada y limpia,5
El trato del Personal y el Estado de la Estacion,5
Rapidez y eficiencia en el servicio,5
Atención  rápida  cordial eficiente ofrecimiento de otros servicios como limpieza de vidrios y revisación de agua y aceite,5
Por la atención  la limpieza  amabilidad ,5
No puedo usar la aplicacion. Ya les pedí ayuda y no obtuve respuesta,2
Muy atentos los empleados a la hora del servicio.,5
Por atención del personal ,5
No me ofrecieron ningun servicio parecen muy apurados por querer atender a todos es probable que falte personal.,2
Atención servicio y producto,5
Excelente trato del personal. Fui a hacerle cambio de aceite  filtro de aire y aceite al auto y salió todo bien. Al finalizar el servicio  el personal me dijo todo lo que se revisó y me hizo ver algunas cosas para solucionar. ,5
Muy bena Atencion del personal. Muy amable y me consulto si tenía shell box para los puntos ya que no utilizo la aplicación. ,5
Impecable ,5
Siempre es una buena experiencia cargar combustible en esa estación,5
Atención cordial y profesional Atención sin demoras Comodidad de las instalaciones ,5
El empleado era muy pero muy atento y dispuesto a ayudarme,5
Atencion de la persona que me atendio fue muy buena!,5
Por la atención  la variedad y calidad de los productos  aunque realmente no pude pagar con la app dado que no me envían el código de verificación por ende no puedo utilizar ese método de pago. Gracias ,3
Muy buena atención del playero Lo negativo que habian solo 2.playeros para una estación de servicio grande con 8 surtidores,3
Atención del personal ,5
personal siempre dispuesto a atender y con buena presencia y con sonrisas. !!!,5
Cargo siempre por la calidad de los productos y la atención,5
Muy buena atención...! Rápida y gentil... Cero problemas..! ,5
Excelente actitud del empleado Rapidez en la atención Cercanía a mi casa,5
Todo OK. ,5
Me gustan los productos y la buena atención ,5
Por rapida atencion  amabilidad y respeto,5
Pocos playeros,2
Rapido bien atendido,5
Siempre me atienden bien me ofrecen revisar fluidos y el trato es cordial la calidad la sigo desde hace mucho años,5
Se tardo mucho en atender ,2
Muy buena atención,5
Celeridad en la atención. Gentileza y amabilidad del personal de servicio. Calidad de los Productos. ,5
la atención de los empleados es muy buena,5
Atencion rapida cordial y eficiente,5
Deberían aplicar el descuento de los Miércoles de forma automática  es bastante mala leche tener que seleccionarlo desde la app.,2
Rapidez  cordialidad y buena atención.,5
ágil eficiente y rápido ,5
Estuve a las 19 hs y justo estaba el camión de shell descargando combustible y en consecuencia más de la mitad de la estación estaba inhabilitada al paso con los problemas de circulación que eso conlleva.,3
Me atienden muy bien en la Shell. ,5
La chica que me atendió a la mañana una genia. Me brindo un exelente servicio.,5
Siempre uso para mi automóvil combustibles Shell (en mi caso  V-Power). Por lo tanto  no cambio dicho combustible por otra marca. Además siempre cargo en la misma Estación (Av. Crámer y Virrey del Pino en Belgrano/Colegiales)... En su defecto cuando me encuentro en otra localidad busco incondicionalmente Estaciones Shell. Así que se darán cuenta mi predilección y fanatismo por dicho combustible. Muchas Gracias por dejar expresarme.,5
Excelente ,5
Muy efectivos en los servicios ,5
Dos personas para todos los surtidores. Buscaba un determinado producto de shell  me lo cobraron sin preguntarme cuál estaba buscando o sin decirme el que tenían en esta oportunidad.,2
Muy buena atención,5
Rapidez cordialidad y promociones ,5
atención eficiente  amable y bastante rápida,5
Excelente como siempre  con la atencion y el producto,5
Atención rápida Operación profesional Comodidad para el ingreso y egreso,5
Pensé que había un beneficio por cargar v-power y pagar con el app de Shell Box  no lo había. Me enteré en la estación que solo es los miércoles y el beneficio es insignificante.  Quizás vuelva a pagar con MercadoPago.,3
Porque hasta ahora no tuve nconvenientes.,5
Atención rápida. Buena calidad de combustible. No me gusta la app Shell box.  ,4
Muy buena calidad de combustible y la posibilidad de cargar aire.,5
La agilidad de pago. La calidad de combustible. ,5
El primer playero que me atendió fue a atender a otro y lavar los vidrios de ese otro.  Tuve que pedirle a otra playera que me cobrara y sacara la manguera.,2
Muy bueno el desempeño del personal Muy atentos Por ello siempre voy ahi,5
rápida y muy profesional atencion ofreciendo servicios varios mas allá de la carga de combustible,5
atención rápida y efectiva. Me aclaro mis dudas sobre la suma de puntos sin tener la aplicación. ,5
Por atención recibida gracias. ,5
la atención del empleado. muy buena,5
Todo ok,5
Mejorar la limpieza de los baños. Verdaderamente estaban muy sucios.,2